X,Y,POTEAU_ID_POT,PANNEAU_ID_PAN,PANNEAU_ID_RPA,DESCRIPTION_RPA,CODE_RPA,FLECHE_PAN,DESCRIPTION_REP,X_EPSG32188,Y_EPSG32188,Longitude,Latitude,DESCRIPTION_CAT,NOM_ARR
-73.5974396095782,45.5242797375295,222492,1157424,14094,\P 09h-10h MER. 1 AVRIL AU 1 DEC.,SU-NC-A,0,Réel,297188.344,5042711.5,-73.5974396095782,45.5242797375295,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5974396095782,45.5242797375295,222492,1157425,1589,\P RESERVE S3R 09h-23h,R-PF,2,Réel,297188.344,5042711.5,-73.5974396095782,45.5242797375295,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5973842751704,45.5269838023337,19590,1180866,14139,\P 18h30-19h30 LUNDI  1 AVRIL AU 1 DEC.,SU-UC-A,0,Réel,297193.031,5043012,-73.5973842751704,45.5269838023337,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5973842751704,45.5269838023337,19590,1180868,1411,P 15 min 07h-18h LUN. AU VEN.,PV-DB,3,Réel,297193.031,5043012,-73.5973842751704,45.5269838023337,STATIONNEMENT,Le Plateau-Mont-Royal
-73.598532827123,45.526739860807,34919,1175667,14113,\P 19h-20h MAR. 1 AVRIL AU 1 DEC.,SU-SB-A,0,Réel,297103.281,5042985,-73.598532827123,45.526739860807,STATIONNEMENT,Le Plateau-Mont-Royal
-73.598532827123,45.526739860807,34919,1175668,1589,\P RESERVE S3R 09h-23h,R-PF,2,Réel,297103.281,5042985,-73.598532827123,45.526739860807,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5984631502033,45.526712781733,238716,1175666,2437,\P LIVRAISON SEULEMENT 08h-11h LUN. AU VEN.,SL-AV,3,Réel,297108.72,5042981.984,-73.5984631502033,45.526712781733,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5982934631991,45.5248324073893,230940,1165938,1589,\P RESERVE S3R 09h-23h,R-PF,0,Réel,297121.719,5042773,-73.5982934631991,45.5248324073893,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5989228402948,45.5251198127626,20724,1165937,1589,\P RESERVE S3R 09h-23h,R-PF,3,Réel,297072.594,5042805,-73.5989228402948,45.5251198127626,STATIONNEMENT,Le Plateau-Mont-Royal
-73.5987707143892,45.5256729227736,237675,1162079,11,\A EN TOUT TEMPS,AD-TT,3,Réel,297084.553,5042866.453,-73.5987707143892,45.5256729227736,STATIONNEMENT,Le Plateau-Mont-Royal
